Средний балл зрителей,Количество оценок,IMDb,Режиссёр,"Хронометраж, мин",Возраст,Год
5.4,209000,3.4,Alex Kurtzman,111,12+,2017
5.7,77000,3.4,Michael Thurmeier,94,6+,2016
5.3,494000,5.6,Catherine Hardwicke,122,16+,2008
7.3,90000,4.9,Garth Jennings,110,6+,2021
6.8,393000,5.9,M. Night Shyamalan,106,12+,2002
7.4,587000,6.8,Bryan Singer,134,12+,2003
8.0,905000,7.4,Denis Villeneuve,155,12+,2021
6.2,176000,4.7,David Yates,142,12+,2022
6.3,268000,4.5,Ruben Fleischer,116,12+,2022
8.2,1600000,7.5,Martin Scorsese,180,18+,2013
6.5,92000,4.7,Jeff Fowler,122,6+,2022
7.3,299000,5.3,Robert Rodriguez,122,16+,2019
5.2,173000,3.1,Rob Cohen,112,14+,2008
7.0,663000,6.4,Ridley Scott,124,16+,2012
8.2,339000,9.7,Victor Fleming,238,G,1939
6.6,112000,6.0,Ol Parker,114,0+,2018
6.3,395000,5.2,Chloé Zhao,156,18+,2021
6.8,360000,4.9,Joseph Kosinski,125,12+,2010
6.9,396000,6.6,J.J. Abrams,126,12+,2006
5.0,86000,4.0,Ben Wheatley,116,12+,2023
6.1,305000,5.7,Rupert Sanders,127,12+,2012
7.2,306000,7.0,Randal Kleiser,110,12+,1978
6.9,125000,6.6,Wes Ball,145,12+,2024
8.3,1100000,9.6,John Lasseter,81,6+,1995
6.2,281000,4.1,Jaume Collet-Serra,125,12+,2022
6.9,386000,6.2,Ron Howard,135,12+,2018
6.1,293000,7.2,Bryan Singer,154,12+,2006
6.9,211000,5.1,Kevin Reynolds,143,12+,1991
8.2,696000,7.8,Sam Mendes,119,16+,2019
8.4,1000000,8.6,Steven Spielberg,115,0+,1981
5.2,192000,3.2,Roland Emmerich,120,12+,2016
7.1,424000,6.9,Len Wiseman,128,14+,2007
6.0,214000,4.8,Michael Dougherty,132,16+,2019
6.1,58000,5.3,Raman Hui,117,6+,2015
6.5,114000,5.5,Tim Johnson,94,6+,2015
7.9,624000,8.2,J.J. Abrams,127,12+,2009
8.5,1300000,8.7,Robert Zemeckis,116,12+,1985
6.4,203000,7.7,George Miller,108,12+,2006
8.4,693000,8.7,Bob Persichetti,117,6+,2018
6.5,209000,5.8,James Mangold,154,12+,2023
6.7,128000,5.9,Brian Fee,102,6+,2017
7.5,529000,6.1,Chris Wedge,81,0+,2002
8.4,334000,8.1,Makoto Shinkai,106,12+,2016
4.6,114000,3.3,James Foley,118,18+,2017
6.4,179000,5.6,Rob Letterman,94,12+,2009
8.1,1100000,9.0,George Miller,120,16+,2015
6.6,436000,6.8,Cate Shortland,134,16+,2021
5.4,206000,3.2,Roland Emmerich,139,12+,1998
7.3,286000,6.3,James Cameron,141,16+,1994
8.0,884000,8.4,Danny Boyle,120,14+,2008
6.6,70000,5.4,Adil El Arbi,115,16+,2024
7.6,871000,8.4,Quentin Tarantino,161,18+,2019
6.2,326000,4.5,Olivier Megaton,92,16+,2012
5.7,188000,4.1,Jon M. Chu,110,12+,2013
8.2,1600000,7.0,Christopher Nolan,140,12+,2005
6.0,202000,4.8,Bibo Bergeron,90,12+,2004
6.5,226000,4.7,Nancy Meyers,127,16+,2000
7.3,246000,6.8,Steven Spielberg,107,12+,2011
6.6,105000,5.3,Eric Darnell,92,0+,2014
6.5,545000,4.0,Gavin Hood,107,12+,2009
6.1,198000,5.1,Chris Weitz,113,12+,2007
4.5,76000,3.1,James Foley,105,18+,2018
6.6,338000,5.8,Andy Tennant,118,12+,2005
6.5,381000,4.9,McG,115,12+,2009
8.1,1100000,7.9,David Fincher,149,18+,2014
7.9,752000,7.1,Doug Liman,113,12+,2014
6.9,910000,6.6,Joe Johnston,124,12+,2011
7.1,333000,6.9,Bobby Farrelly,119,16+,1998
7.8,325000,8.7,Andrew Davis,130,12+,1993
5.9,346000,4.2,Joe Johnston,92,12+,2001
6.6,146000,6.2,Joel Zwick,95,12+,2002
7.0,391000,7.1,David F. Sandberg,132,12+,2019
6.1,28000,0.0,Da-Mo Peng,118,12+,2018
